,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,5009.690630760963,25812.353522559075
1,151.17420282977207,8134.5710178359295,-51313.90816661174
2,174.60741596551495,8537.223986279914,39517.555269843695
3,201.22571225216032,7578.265397937599,-6856.102873007943
4,227.7791576783528,7577.3042790145555,-35186.381582180285
5,254.34563756094343,7522.389030667269,-52434.44921305297
6,280.8868545869394,7424.137713327065,-55312.07033438243
7,307.449185074163,7312.797079230559,-62494.98844205797
8,333.96805375769736,7226.1406224078855,-74745.28000750807
9,360.52249013188083,7153.776058555144,-89421.18406938719
10,387.0860755185914,7088.10651273505,-102459.63611096037
11,413.74748791755314,6993.148720251607,-114684.16073360678
12,440.5823297794153,7000.689479055369,-130995.431248566
13,467.6278116637245,6991.7847555587705,-137802.48954721322
14,493.98843755784867,6883.420212962932,-137820.903545852
15,520.2986564301422,6779.00953971245,-135826.48031390487
16,546.6143557796431,6681.354498227613,-134118.15804564246
17,572.9256560171444,6562.46308288742,-131036.08493183064
18,599.2398887258498,6454.750898106377,-128980.22119107003
19,625.5504487230471,6336.301794202295,-126105.55330333947
20,651.8740196791434,6198.756381704616,-122474.78926999343
21,678.176564767068,6060.739924099667,-118267.13094348153
22,704.4666089051283,5912.314919302769,-112805.83161265608
23,730.7411143850045,5787.922994805211,-109088.23345786803
24,756.9975622790864,5570.365306842257,-100147.51296601929
25,783.2376014870954,5377.4856866210575,-93228.78586138025
26,809.4526889492199,5138.04977909895,-84397.09691260546
27,835.6537643776513,4906.040110607693,-77015.31984970238
28,861.8229871391592,4626.600992539335,-67651.10979749619
29,887.9880392885743,4298.780701554841,-57343.11684681713
30,914.1300155646483,3956.7921280332926,-47341.04764492114
31,940.2638518588917,3434.139397882294,-33442.09623340672
32,966.3488308335221,2945.9581342825068,-21919.976857039648
33,992.4161154364709,2058.856624964996,-1822.6152153677206
34,1018.4585580360075,1003.8447210429038,7985.78373437293
35,1044.4891970775996,1003.6098448715738,7523.802522249867
36,1070.494061202355,1002.6132336134053,7053.3565125489295
37,1096.471467912776,1000.8790232105171,6600.13847352071
38,1122.4515376730387,899.4986220188944,6335.542148254639
39,1148.8142726788383,399.74368149736074,4982.235654806564
40,1142.5234870745587,0.0013365372105909046,0.027386011257481392
