,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,6423.177772754147,94957.51685194718
1,151.17420282977207,10404.186877596478,41599.40575807339
2,174.60741596551495,10843.84458115555,178313.74947037175
3,201.22571225216032,9576.458090483464,113739.40375738975
4,227.7791576783528,9521.961897255094,85548.77615946339
5,254.34563756094343,9423.011598686266,66379.68522140806
6,280.8868545869394,9297.146685323176,60094.31501427674
7,307.449185074163,9154.440694860146,49950.041923598925
8,333.96805375769736,9035.09975157032,35494.67413169008
9,360.52249013188083,8934.789214166674,18317.79834159193
10,387.0860755185914,8843.779450268175,2648.3797208874166
11,413.74748791755314,8716.744221546403,-13107.319812562258
12,440.5823297794153,8717.174981083814,-32485.858921085164
13,467.6278116637245,8694.786616874062,-40931.09396150718
14,493.98843755784867,8550.959085570781,-43189.03649318159
15,520.2986564301422,8413.593755488742,-43289.2527353459
16,546.6143557796431,8288.462966652845,-43758.53984084891
17,572.9256560171444,8134.557835627153,-43049.112349492985
18,599.2398887258498,7996.362238561311,-43320.85200749429
19,625.5504487230471,7843.465637356143,-42737.33738012238
20,651.8740196791434,7669.0966062682555,-41904.67370007986
21,678.176564767068,7495.647775374571,-40333.258033679456
22,704.4666089051283,7313.448432238434,-37623.10784878004
23,730.7411143850045,7162.0649383312375,-36250.338374611354
24,756.9975622790864,6902.957597349744,-30648.441231641336
25,783.2376014870954,6676.794579071629,-26584.193802126265
26,809.4526889492199,6393.4026935400225,-20832.867883528044
27,835.6537643776513,6119.7605909781505,-16273.186881160931
28,861.8229871391592,5788.80516045567,-9840.546431292969
29,887.9880392885743,5402.430539896199,-2667.9500474143206
30,914.1300155646483,4996.345651257016,4392.465236250234
31,940.2638518588917,4371.990329583884,14146.08838734853
32,966.3488308335221,3782.7268872995455,21651.08957305669
33,992.4161154364709,2714.2584178645016,32859.97568940966
34,1018.4585580360075,1375.0179645636263,28098.98655235048
35,1044.4891970775996,1374.6962425400338,27463.054708035263
36,1070.494061202355,1373.3311326231888,26809.905201297785
37,1096.471467912776,1370.9556950596707,26162.544578178073
38,1122.4515376730387,1232.0897230910932,24041.06474919487
39,1148.8142726788383,547.5495679338028,13683.521545109646
40,1142.5234870745587,0.0018307240516151069,0.060365015253125494
