,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,5873.682520547585,23940.477289027156
1,151.17420282977207,9541.557997711458,-74767.45774696892
2,174.60741596551495,10028.217647225563,20346.331916822557
3,201.22571225216032,8911.457100247424,-37128.5008709758
4,227.7791576783528,8917.193461107106,-76473.46432518798
5,254.34563756094343,8854.890967567653,-100441.12966289402
6,280.8868545869394,8737.621395277612,-105660.95722305396
7,307.449185074163,8605.631626906707,-117647.35239618341
8,333.96805375769736,8501.124954225448,-135319.14177912168
9,360.52249013188083,8410.888621609894,-155227.2348266905
10,387.0860755185914,8329.460776479507,-172105.07540716982
11,413.74748791755314,8209.067189414716,-187693.64905480194
12,440.5823297794153,8209.129456329172,-208569.9674860934
13,467.6278116637245,8190.281556917671,-217679.58685774833
14,493.98843755784867,8056.280344068523,-217655.54667576228
15,520.2986564301422,7925.249057560498,-214875.17206055418
16,546.6143557796431,7801.939177462559,-212359.06823380105
17,572.9256560171444,7653.585592667498,-207903.54470022308
18,599.2398887258498,7518.6617641291505,-204715.88571006162
19,625.5504487230471,7371.930151129946,-200353.19229445633
20,651.8740196791434,7200.106156696309,-194797.20561283274
21,678.176564767068,7028.182674024021,-188521.2468088399
22,704.4666089051283,6841.197010494582,-180494.70166477637
23,730.7411143850045,6684.632272474042,-174823.105563588
24,756.9975622790864,6410.8549803723445,-162076.31681656218
25,783.2376014870954,6168.117739649941,-152248.43363517642
26,809.4526889492199,5870.788811692315,-139961.22129197337
27,835.6537643776513,5584.617046849562,-129769.74910518879
28,861.8229871391592,5244.722430306309,-117100.19354099144
29,887.9880392885743,4849.600623389439,-103293.46637346673
30,914.1300155646483,4443.519772534232,-89876.51229106708
31,940.2638518588917,3829.10278281103,-70968.81683034371
32,966.3488308335221,3260.8990073928185,-54529.05017467181
33,992.4161154364709,2227.9960160010123,-23704.92091389069
34,1018.4585580360075,1051.8570948418421,-2261.3650589765093
35,1044.4891970775996,1051.6109848986973,-2743.2109266604857
36,1070.494061202355,1050.5667072323113,-3228.004281110647
37,1096.471467912776,1048.74955217039,-3685.4292310204874
38,1122.4515376730387,942.5202798178552,-2881.699821741593
39,1148.8142726788383,418.86281681529636,980.4744049475412
40,1142.5234870745587,0.0014004617632963345,0.014542548288371579
