,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,14457.401499369884,301497.1238719509
1,151.17420282977207,23380.957479687826,228623.66068247595
2,174.60741596551495,24274.73384518092,521813.9414159541
3,201.22571225216032,21379.552007055205,352261.29125479155
4,227.7791576783528,21177.540587565396,275486.63837192574
5,254.34563756094343,20900.5431247199,220920.07449679798
6,280.8868545869394,20595.04973723243,194693.4293637668
7,307.449185074163,20245.693086826774,157552.65713975416
8,333.96805375769736,19933.524764358088,115101.97266985405
9,360.52249013188083,19659.39114443965,69570.11009738402
10,387.0860755185914,19418.144024007408,30205.916567353008
11,413.74748791755314,19078.14256032712,-9519.182365779256
12,440.5823297794153,19018.723842123767,-56538.21237934081
13,467.6278116637245,18908.184661727708,-79075.41956962548
14,493.98843755784867,18544.35294284592,-87351.461091024
15,520.2986564301422,18193.18100663947,-90318.39763945798
16,546.6143557796431,17874.600705881945,-93631.28159607621
17,572.9256560171444,17490.026595101157,-94455.57623913935
18,599.2398887258498,17144.66512935706,-97054.06532638147
19,625.5504487230471,16770.95366206483,-97482.4435473663
20,651.8740196791434,16343.084493268861,-97404.89924532344
21,678.176564767068,15923.974416972105,-95437.78536099975
22,704.4666089051283,15485.037227682169,-90790.46872282124
23,730.7411143850045,15122.730959649547,-88848.8176946493
24,756.9975622790864,14511.494542492668,-78097.02789870146
25,783.2376014870954,13984.740613676235,-70814.54197512686
26,809.4526889492199,13337.947183530912,-60361.00578968045
27,835.6537643776513,12721.673107295686,-52792.800360267065
28,861.8229871391592,11993.997218516823,-41553.277257071604
29,887.9880392885743,11160.22537743296,-29271.293369269144
30,914.1300155646483,10302.622279328943,-16869.273140151174
31,940.2638518588917,8998.814127354826,1332.2977490252451
32,966.3488308335221,7774.898985465437,17297.253988886005
33,992.4161154364709,5539.504880068775,46930.96487750033
34,1018.4585580360075,2783.7272648561607,47321.27469101118
35,1044.4891970775996,2783.075937824908,46035.078354157835
36,1070.494061202355,2780.312269427124,44712.996449764585
37,1096.471467912776,2775.503190213658,43415.48660550477
38,1122.4515376730387,2494.368687034739,40115.651195247294
39,1148.8142726788383,1108.5154524517548,23864.682053689183
40,1142.5234870745587,0.0037063053641759325,0.10946797018360703
